Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Num_days_from_begin,Num_days_from_begin_norm
Haiti,0.5655555209198243,0.15032268027416365,2020-01-23,0,0,0,1.0,0.5
Holy See,0.7821708479866093,0.43792167769984874,2020-01-23,0,0,0,1.0,0.5
Honduras,0.5299323564167888,0.10295426815299269,2020-01-23,0,0,0,1.0,0.5
Hungary,0.8318536004314983,0.4618487212425948,2020-01-23,0,0,0,1.0,0.5
Iceland,1.0,0.33109965839842653,2020-01-23,0,0,0,1.0,0.5
India,0.5847197859133962,0.6603838902530702,2020-01-23,0,0,0,1.0,0.5
Indonesia,0.3788956932357362,0.7822991669537387,2020-01-23,0,0,0,1.0,0.5
Iran,0.6886269797862724,0.5755350145855217,2020-01-23,0,0,0,1.0,0.5
Iraq,0.6980730883201702,0.5449894193452043,2020-01-23,0,0,0,1.0,0.5
Ireland,0.888340384853354,0.36954875670942483,2020-01-23,0,0,0,1.0,0.5
Israel,0.6791808712523746,0.5144438241048868,2020-01-23,0,0,0,1.0,0.5
Italy,0.7925341736591486,0.4363828584907421,2020-01-23,0,0,0,1.0,0.5
Jamaica,0.5574167538070179,0.1333111594938255,2020-01-23,0,0,0,1.0,0.5
Japan,0.7264114139218638,0.8640211918551867,2020-01-23,2,0,0,1.0,0.5
Jordan,0.68144793730051,0.5195686961952066,2020-01-23,0,0,0,1.0,0.5
Kazakhstan,0.8399498600559021,0.6227914261908115,2020-01-23,0,0,0,1.0,0.5
Kenya,0.3861285785401417,0.5243073362034879,2020-01-23,0,0,0,1.0,0.5
Kosovo,0.7887806301876847,0.46659916203250384,2020-01-23,0,0,0,1.0,0.5
Kuwait,0.6650117084515279,0.5577167506953364,2020-01-23,0,0,0,1.0,0.5
Kyrgyzstan,0.7755727411756816,0.6494081790922188,2020-01-23,0,0,0,1.0,0.5
Laos,0.5739159881999213,0.7435205020338276,2020-01-23,0,0,0,1.0,0.5
Latvia,0.923642381666237,0.479157552483272,2020-01-23,0,0,0,1.0,0.5
Lebanon,0.7061466772840927,0.5173704315244119,2020-01-23,0,0,0,1.0,0.5
Liberia,0.4470720369682904,0.36365209924603287,2020-01-23,0,0,0,1.0,0.5
Libya,0.6351157195525946,0.4541275787694537,2020-01-23,0,0,0,1.0,0.5
Liechtenstein,0.8316410629894856,0.42806766867532237,2020-01-23,0,0,0,1.0,0.5
Lithuania,0.9074876468515649,0.47670745634949585,2020-01-23,0,0,0,1.0,0.5
Luxembourg,0.8569122371502225,0.416458984901991,2020-01-23,0,0,0,1.0,0.5
MS Zaandam,0.3863515067015417,0.3956553981703188,2020-01-23,0,0,0,1.0,0.5
Madagascar,0.20907733245673446,0.5547270157123148,2020-01-23,0,0,0,1.0,0.5
Malawi,0.2611498747918314,0.5120732313676111,2020-01-23,0,0,0,1.0,0.5
Malaysia,0.40996677803628634,0.7774753386742872,2020-01-23,0,0,0,1.0,0.5
Maldives,0.4166055031139097,0.6441631609939535,2020-01-23,0,0,0,1.0,0.5
Mali,0.5523261703492321,0.38209259048708344,2020-01-23,0,0,0,1.0,0.5
Malta,0.7258210321384951,0.4444448592611699,2020-01-23,0,0,0,1.0,0.5
Mauritania,0.584794410170814,0.4327879813264594,2020-01-23,0,0,0,1.0,0.5
Mauritius,0.19554011431680549,0.5908078122056805,2020-01-23,0,0,0,1.0,0.5
Mexico,0.6096055588459501,0.047595807107959964,2020-01-23,0,0,0,1.0,0.5
Moldova,0.8342066260672922,0.4919415628823502,2020-01-23,0,0,0,1.0,0.5
Monaco,0.7994610050470559,0.4208273444168591,2020-01-23,0,0,0,1.0,0.5
Mongolia,0.8290197678713289,0.7481064276417273,2020-01-23,0,0,0,1.0,0.5
Montenegro,0.7878111193921997,0.4611587301856663,2020-01-23,0,0,0,1.0,0.5
Morocco,0.6866593553786615,0.3715834327479326,2020-01-23,0,0,0,1.0,0.5
Mozambique,0.2100333258709076,0.5162411337167371,2020-01-23,0,0,0,1.0,0.5
Namibia,0.16949152542372883,0.45841098419604837,2020-01-23,0,0,0,1.0,0.5
